"Bestedingscategorieën";"Perioden";"CPI (2015 = 100)";"Jaarmutatie CPI (%)"
"071120 Tweedehands auto's";"2021 oktober";"  106.74";"     5.6"
"071120 Tweedehands auto's";"2021 november";"  107.91";"     6.1"
"071120 Tweedehands auto's";"2021 december";"  108.64";"     6.7"
"071120 Tweedehands auto's";"2022 januari";"  110.28";"     8.3"
"071120 Tweedehands auto's";"2022 februari";"  110.94";"     9.4"
"071120 Tweedehands auto's";"2022 maart";"  111.29";"    10.0"
"071120 Tweedehands auto's";"2022 april";"  112.28";"    10.4"
"071120 Tweedehands auto's";"2022 mei";"  113.52";"    11.6"
"071120 Tweedehands auto's";"2022 juni";"  113.67";"    12.1"
"071120 Tweedehands auto's";"2022 juli";"  114.29";"    11.9"
"071120 Tweedehands auto's";"2022 augustus";"  116.40";"    11.7"
"071120 Tweedehands auto's";"2022 september";"  116.90";"    11.7"
"071120 Tweedehands auto's";"2022 oktober";"  117.37";"    10.0"
"071120 Tweedehands auto's";"2022 november";"  116.83";"     8.3"
"071120 Tweedehands auto's";"2022 december";"  117.12";"     7.8"
"071120 Tweedehands auto's";"2023 januari";"  119.87";"     8.7"
"071120 Tweedehands auto's";"2023 februari";"  120.11";"     8.3"
"071120 Tweedehands auto's";"2023 maart";"  120.46";"     8.2"
"071120 Tweedehands auto's";"2023 april";"  120.75";"     7.5"
"071120 Tweedehands auto's";"2023 mei";"  121.33";"     6.9"
"071120 Tweedehands auto's";"2023 juni";"  121.62";"     7.0"
"071120 Tweedehands auto's";"2023 juli";"  121.97";"     6.7"
"071120 Tweedehands auto's";"2023 augustus";"  121.96";"     4.8"
"071120 Tweedehands auto's";"2023 september";"  121.96";"     4.3"
"071120 Tweedehands auto's";"2023 oktober";"  121.51";"     3.5"
"071120 Tweedehands auto's";"2023 november";"  120.74";"     3.3"
"071120 Tweedehands auto's";"2023 december";"  119.97";"     2.4"
"071120 Tweedehands auto's";"2024 januari";"  122.07";"     1.8"
"071120 Tweedehands auto's";"2024 februari";"  121.60";"     1.2"
"071120 Tweedehands auto's";"2024 maart";"  121.58";"     0.9"
"071120 Tweedehands auto's";"2024 april";"  121.53";"     0.6"
"071120 Tweedehands auto's";"2024 mei";"  121.32";"     0.0"
"071120 Tweedehands auto's";"2024 juni";"  121.21";"    -0.3"
"071120 Tweedehands auto's";"2024 juli";"  121.47";"    -0.4"
"071120 Tweedehands auto's";"2024 augustus";"  121.37";"    -0.5"
"071120 Tweedehands auto's";"2024 september";"  121.07";"    -0.7"
"071120 Tweedehands auto's";"2024 oktober";"  120.18";"    -1.1"
"071120 Tweedehands auto's";"2024 november";"  119.84";"    -0.7"
"071120 Tweedehands auto's";"2024 december";"  119.45";"    -0.4"
"071120 Tweedehands auto's";"2025 januari";"  121.69";"    -0.3"
