"Bestedingscategorieën";"Perioden";"CPI (2015 = 100)";"Jaarmutatie CPI (%)"
"072300 Onderhoud en rep. privévoertuigen";"2013 maart";"   97.76";"     5.3"
"072300 Onderhoud en rep. privévoertuigen";"2013 april";"   97.67";"     5.2"
"072300 Onderhoud en rep. privévoertuigen";"2013 mei";"   97.77";"     5.5"
"072300 Onderhoud en rep. privévoertuigen";"2013 juni";"   97.98";"     5.4"
"072300 Onderhoud en rep. privévoertuigen";"2013 juli";"   98.19";"     5.8"
"072300 Onderhoud en rep. privévoertuigen";"2013 augustus";"   98.16";"     5.6"
"072300 Onderhoud en rep. privévoertuigen";"2013 september";"   98.37";"     5.7"
"072300 Onderhoud en rep. privévoertuigen";"2013 oktober";"   98.51";"     2.4"
"072300 Onderhoud en rep. privévoertuigen";"2013 november";"   98.89";"     2.4"
"072300 Onderhoud en rep. privévoertuigen";"2013 december";"   98.94";"     2.1"
"072300 Onderhoud en rep. privévoertuigen";"2014 januari";"   99.35";"     1.7"
"072300 Onderhoud en rep. privévoertuigen";"2014 februari";"   99.26";"     1.7"
"072300 Onderhoud en rep. privévoertuigen";"2014 maart";"   99.31";"     1.6"
"072300 Onderhoud en rep. privévoertuigen";"2014 april";"   98.96";"     1.3"
"072300 Onderhoud en rep. privévoertuigen";"2014 mei";"   98.99";"     1.2"
"072300 Onderhoud en rep. privévoertuigen";"2014 juni";"   98.84";"     0.9"
"072300 Onderhoud en rep. privévoertuigen";"2014 juli";"   98.88";"     0.7"
"072300 Onderhoud en rep. privévoertuigen";"2014 augustus";"   99.13";"     1.0"
"072300 Onderhoud en rep. privévoertuigen";"2014 september";"   99.13";"     0.8"
"072300 Onderhoud en rep. privévoertuigen";"2014 oktober";"   99.29";"     0.8"
"072300 Onderhoud en rep. privévoertuigen";"2014 november";"   99.63";"     0.7"
"072300 Onderhoud en rep. privévoertuigen";"2014 december";"   99.74";"     0.8"
"072300 Onderhoud en rep. privévoertuigen";"2015 januari";"  100.08";"     0.7"
"072300 Onderhoud en rep. privévoertuigen";"2015 februari";"   98.66";"    -0.6"
"072300 Onderhoud en rep. privévoertuigen";"2015 maart";"   99.59";"     0.3"
"072300 Onderhoud en rep. privévoertuigen";"2015 april";"   99.90";"     0.9"
"072300 Onderhoud en rep. privévoertuigen";"2015 mei";"   99.85";"     0.9"
"072300 Onderhoud en rep. privévoertuigen";"2015 juni";"  100.09";"     1.3"
"072300 Onderhoud en rep. privévoertuigen";"2015 juli";"  100.25";"     1.4"
"072300 Onderhoud en rep. privévoertuigen";"2015 augustus";"  100.11";"     1.0"
"072300 Onderhoud en rep. privévoertuigen";"2015 september";"  100.17";"     1.0"
"072300 Onderhoud en rep. privévoertuigen";"2015 oktober";"  100.27";"     1.0"
"072300 Onderhoud en rep. privévoertuigen";"2015 november";"  100.26";"     0.6"
"072300 Onderhoud en rep. privévoertuigen";"2015 december";"  100.77";"     1.0"
"072300 Onderhoud en rep. privévoertuigen";"2016 januari";"  101.41";"     1.3"
"072300 Onderhoud en rep. privévoertuigen";"2016 februari";"  102.03";"     3.4"
"072300 Onderhoud en rep. privévoertuigen";"2016 maart";"  101.53";"     1.9"
"072300 Onderhoud en rep. privévoertuigen";"2016 april";"  102.68";"     2.8"
"072300 Onderhoud en rep. privévoertuigen";"2016 mei";"  102.48";"     2.6"
"072300 Onderhoud en rep. privévoertuigen";"2016 juni";"  102.45";"     2.4"
"072300 Onderhoud en rep. privévoertuigen";"2016 juli";"  102.02";"     1.8"
"072300 Onderhoud en rep. privévoertuigen";"2016 augustus";"  102.21";"     2.1"
"072300 Onderhoud en rep. privévoertuigen";"2016 september";"  102.02";"     1.8"
"072300 Onderhoud en rep. privévoertuigen";"2016 oktober";"  103.14";"     2.9"
"072300 Onderhoud en rep. privévoertuigen";"2016 november";"  103.88";"     3.6"
"072300 Onderhoud en rep. privévoertuigen";"2016 december";"  103.83";"     3.0"
"072300 Onderhoud en rep. privévoertuigen";"2017 januari";"  103.19";"     1.8"
"072300 Onderhoud en rep. privévoertuigen";"2017 februari";"  104.21";"     2.1"
"072300 Onderhoud en rep. privévoertuigen";"2017 maart";"  103.73";"     2.2"
"072300 Onderhoud en rep. privévoertuigen";"2017 april";"  102.45";"    -0.2"
"072300 Onderhoud en rep. privévoertuigen";"2017 mei";"  101.88";"    -0.6"
