"Bestedingscategorieën";"Perioden";"CPI (2015 = 100)";"Jaarmutatie CPI (%)"
"072200 Brandstoffen en smeermiddelen";"2022 november";"  130.26";"    -0.6"
"072200 Brandstoffen en smeermiddelen";"2022 december";"  119.64";"    -7.0"
"072200 Brandstoffen en smeermiddelen";"2023 januari";"  123.77";"    -5.6"
"072200 Brandstoffen en smeermiddelen";"2023 februari";"  122.65";"    -9.4"
"072200 Brandstoffen en smeermiddelen";"2023 maart";"  121.69";"   -20.8"
"072200 Brandstoffen en smeermiddelen";"2023 april";"  123.51";"   -12.7"
"072200 Brandstoffen en smeermiddelen";"2023 mei";"  119.63";"   -18.3"
"072200 Brandstoffen en smeermiddelen";"2023 juni";"  120.73";"   -23.2"
"072200 Brandstoffen en smeermiddelen";"2023 juli";"  131.84";"   -11.1"
"072200 Brandstoffen en smeermiddelen";"2023 augustus";"  138.29";"    -0.6"
"072200 Brandstoffen en smeermiddelen";"2023 september";"  141.65";"     5.5"
"072200 Brandstoffen en smeermiddelen";"2023 oktober";"  137.13";"     0.3"
"072200 Brandstoffen en smeermiddelen";"2023 november";"  132.91";"     2.0"
"072200 Brandstoffen en smeermiddelen";"2023 december";"  127.53";"     6.6"
"072200 Brandstoffen en smeermiddelen";"2024 januari";"  129.07";"     4.3"
"072200 Brandstoffen en smeermiddelen";"2024 februari";"  133.18";"     8.6"
"072200 Brandstoffen en smeermiddelen";"2024 maart";"  135.20";"    11.1"
"072200 Brandstoffen en smeermiddelen";"2024 april";"  139.31";"    12.8"
"072200 Brandstoffen en smeermiddelen";"2024 mei";"  135.57";"    13.3"
"072200 Brandstoffen en smeermiddelen";"2024 juni";"  133.08";"    10.2"
"072200 Brandstoffen en smeermiddelen";"2024 juli";"  133.76";"     1.5"
"072200 Brandstoffen en smeermiddelen";"2024 augustus";"  130.48";"    -5.6"
"072200 Brandstoffen en smeermiddelen";"2024 september";"  125.62";"   -11.3"
