"Bestedingscategorieën";"Perioden";"CPI (2015 = 100)";"Jaarmutatie CPI (%)"
"071110 Nieuwe auto's";"2014 mei";"   97.14";"     2.2"
"071110 Nieuwe auto's";"2014 juni";"   96.73";"     1.8"
"071110 Nieuwe auto's";"2014 juli";"   96.61";"     1.7"
"071110 Nieuwe auto's";"2014 augustus";"   97.07";"     2.2"
"071110 Nieuwe auto's";"2014 september";"   96.91";"     2.0"
"071110 Nieuwe auto's";"2014 oktober";"   96.99";"     2.1"
"071110 Nieuwe auto's";"2014 november";"   97.02";"     1.7"
"071110 Nieuwe auto's";"2014 december";"   97.02";"     1.9"
"071110 Nieuwe auto's";"2015 januari";"  100.16";"     2.7"
"071110 Nieuwe auto's";"2015 februari";"  100.03";"     2.4"
"071110 Nieuwe auto's";"2015 maart";"  100.05";"     2.7"
"071110 Nieuwe auto's";"2015 april";"   99.63";"     2.6"
"071110 Nieuwe auto's";"2015 mei";"   99.52";"     2.5"
"071110 Nieuwe auto's";"2015 juni";"   99.75";"     3.1"
"071110 Nieuwe auto's";"2015 juli";"   99.73";"     3.2"
"071110 Nieuwe auto's";"2015 augustus";"   99.73";"     2.7"
"071110 Nieuwe auto's";"2015 september";"  100.27";"     3.5"
"071110 Nieuwe auto's";"2015 oktober";"  100.31";"     3.4"
"071110 Nieuwe auto's";"2015 november";"  100.40";"     3.5"
"071110 Nieuwe auto's";"2015 december";"  100.40";"     3.5"
"071110 Nieuwe auto's";"2016 januari";"  101.82";"     1.7"
"071110 Nieuwe auto's";"2016 februari";"  101.70";"     1.7"
"071110 Nieuwe auto's";"2016 maart";"  101.76";"     1.7"
"071110 Nieuwe auto's";"2016 april";"  101.75";"     2.1"
"071110 Nieuwe auto's";"2016 mei";"  101.81";"     2.3"
"071110 Nieuwe auto's";"2016 juni";"  101.96";"     2.2"
"071110 Nieuwe auto's";"2016 juli";"  102.11";"     2.4"
"071110 Nieuwe auto's";"2016 augustus";"  102.15";"     2.4"
"071110 Nieuwe auto's";"2016 september";"  102.13";"     1.9"
"071110 Nieuwe auto's";"2016 oktober";"  102.05";"     1.7"
"071110 Nieuwe auto's";"2016 november";"  101.61";"     1.2"
"071110 Nieuwe auto's";"2016 december";"  101.61";"     1.2"
"071110 Nieuwe auto's";"2017 januari";"  103.62";"     1.8"
"071110 Nieuwe auto's";"2017 februari";"  103.64";"     1.9"
"071110 Nieuwe auto's";"2017 maart";"  103.45";"     1.7"
"071110 Nieuwe auto's";"2017 april";"  103.49";"     1.7"
"071110 Nieuwe auto's";"2017 mei";"  104.20";"     2.3"
"071110 Nieuwe auto's";"2017 juni";"  104.31";"     2.3"
"071110 Nieuwe auto's";"2017 juli";"  104.55";"     2.4"
"071110 Nieuwe auto's";"2017 augustus";"  104.60";"     2.4"
"071110 Nieuwe auto's";"2017 september";"  104.63";"     2.4"
"071110 Nieuwe auto's";"2017 oktober";"  104.91";"     2.8"
"071110 Nieuwe auto's";"2017 november";"  105.23";"     3.6"
"071110 Nieuwe auto's";"2017 december";"  105.23";"     3.6"
"071110 Nieuwe auto's";"2018 januari";"  107.02";"     3.3"
"071110 Nieuwe auto's";"2018 februari";"  107.02";"     3.3"
"071110 Nieuwe auto's";"2018 maart";"  107.48";"     3.9"
"071110 Nieuwe auto's";"2018 april";"  107.68";"     4.0"
"071110 Nieuwe auto's";"2018 mei";"  108.66";"     4.3"
"071110 Nieuwe auto's";"2018 juni";"  108.56";"     4.1"
"071110 Nieuwe auto's";"2018 juli";"  108.67";"     3.9"
"071110 Nieuwe auto's";"2018 augustus";"  109.71";"     4.9"
"071110 Nieuwe auto's";"2018 september";"  109.94";"     5.1"
"071110 Nieuwe auto's";"2018 oktober";"  110.03";"     4.9"
"071110 Nieuwe auto's";"2018 november";"  109.97";"     4.5"
"071110 Nieuwe auto's";"2018 december";"  110.08";"     4.6"
"071110 Nieuwe auto's";"2019 januari";"  110.93";"     3.7"
"071110 Nieuwe auto's";"2019 februari";"  110.93";"     3.7"
"071110 Nieuwe auto's";"2019 maart";"  110.93";"     3.2"
"071110 Nieuwe auto's";"2019 april";"  110.89";"     3.0"
"071110 Nieuwe auto's";"2019 mei";"  110.83";"     2.0"
"071110 Nieuwe auto's";"2019 juni";"  110.70";"     2.0"
"071110 Nieuwe auto's";"2019 juli";"  111.05";"     2.2"
"071110 Nieuwe auto's";"2019 augustus";"  111.41";"     1.5"
"071110 Nieuwe auto's";"2019 september";"  111.45";"     1.4"
"071110 Nieuwe auto's";"2019 oktober";"  111.55";"     1.4"
"071110 Nieuwe auto's";"2019 november";"  111.91";"     1.8"
"071110 Nieuwe auto's";"2019 december";"  111.93";"     1.7"
"071110 Nieuwe auto's";"2020 januari";"  114.12";"     2.9"
"071110 Nieuwe auto's";"2020 februari";"  114.31";"     3.0"
"071110 Nieuwe auto's";"2020 maart";"  114.42";"     3.1"
"071110 Nieuwe auto's";"2020 april";"  114.63";"     3.4"
"071110 Nieuwe auto's";"2020 mei";"  114.80";"     3.6"
"071110 Nieuwe auto's";"2020 juni";"  114.80";"     3.7"
"071110 Nieuwe auto's";"2020 juli";"  115.39";"     3.9"
"071110 Nieuwe auto's";"2020 augustus";"  115.39";"     3.6"
"071110 Nieuwe auto's";"2020 september";"  115.32";"     3.5"
"071110 Nieuwe auto's";"2020 oktober";"  114.95";"     3.0"
"071110 Nieuwe auto's";"2020 november";"  114.60";"     2.4"
"071110 Nieuwe auto's";"2020 december";"  114.60";"     2.4"
"071110 Nieuwe auto's";"2021 januari";"  118.32";"     3.7"
"071110 Nieuwe auto's";"2021 februari";"  118.44";"     3.6"
"071110 Nieuwe auto's";"2021 maart";"  118.72";"     3.8"
"071110 Nieuwe auto's";"2021 april";"  118.86";"     3.7"
"071110 Nieuwe auto's";"2021 mei";"  118.28";"     3.0"
"071110 Nieuwe auto's";"2021 juni";"  118.47";"     3.2"
"071110 Nieuwe auto's";"2021 juli";"  119.26";"     3.4"
"071110 Nieuwe auto's";"2021 augustus";"  119.49";"     3.6"
"071110 Nieuwe auto's";"2021 september";"  119.64";"     3.7"
"071110 Nieuwe auto's";"2021 oktober";"  119.52";"     4.0"
"071110 Nieuwe auto's";"2021 november";"  119.63";"     4.4"
"071110 Nieuwe auto's";"2021 december";"  119.77";"     4.5"
"071110 Nieuwe auto's";"2022 januari";"  123.65";"     4.5"
"071110 Nieuwe auto's";"2022 februari";"  123.95";"     4.7"
"071110 Nieuwe auto's";"2022 maart";"  124.45";"     4.8"
"071110 Nieuwe auto's";"2022 april";"  125.04";"     5.2"
"071110 Nieuwe auto's";"2022 mei";"  126.17";"     6.7"
"071110 Nieuwe auto's";"2022 juni";"  127.08";"     7.3"
"071110 Nieuwe auto's";"2022 juli";"  127.44";"     6.9"
"071110 Nieuwe auto's";"2022 augustus";"  127.80";"     7.0"
"071110 Nieuwe auto's";"2022 september";"  128.56";"     7.5"
"071110 Nieuwe auto's";"2022 oktober";"  129.07";"     8.0"
"071110 Nieuwe auto's";"2022 november";"  129.59";"     8.3"
"071110 Nieuwe auto's";"2022 december";"  129.89";"     8.4"
"071110 Nieuwe auto's";"2023 januari";"  132.94";"     7.5"
"071110 Nieuwe auto's";"2023 februari";"  133.07";"     7.4"
"071110 Nieuwe auto's";"2023 maart";"  133.43";"     7.2"
"071110 Nieuwe auto's";"2023 april";"  134.21";"     7.3"
"071110 Nieuwe auto's";"2023 mei";"  134.28";"     6.4"
"071110 Nieuwe auto's";"2023 juni";"  133.91";"     5.4"
"071110 Nieuwe auto's";"2023 juli";"  134.27";"     5.4"
"071110 Nieuwe auto's";"2023 augustus";"  134.19";"     5.0"
"071110 Nieuwe auto's";"2023 september";"  134.23";"     4.4"
"071110 Nieuwe auto's";"2023 oktober";"  133.88";"     3.7"
"071110 Nieuwe auto's";"2023 november";"  133.35";"     2.9"
"071110 Nieuwe auto's";"2023 december";"  133.35";"     2.7"
"071110 Nieuwe auto's";"2024 januari";"  136.12";"     2.4"
"071110 Nieuwe auto's";"2024 februari";"  136.16";"     2.3"
"071110 Nieuwe auto's";"2024 maart";"  136.04";"     2.0"
"071110 Nieuwe auto's";"2024 april";"  136.42";"     1.6"
"071110 Nieuwe auto's";"2024 mei";"  136.54";"     1.7"
"071110 Nieuwe auto's";"2024 juni";"  136.54";"     2.0"
"071110 Nieuwe auto's";"2024 juli";"  136.30";"     1.5"
"071110 Nieuwe auto's";"2024 augustus";"  136.57";"     1.8"
"071110 Nieuwe auto's";"2024 september";"  136.61";"     1.8"
"071110 Nieuwe auto's";"2024 oktober";"  136.97";"     2.3"
"071110 Nieuwe auto's";"2024 november";"  136.97";"     2.7"
"071110 Nieuwe auto's";"2024 december";"  136.99";"     2.7"
"071110 Nieuwe auto's";"2025 januari";"  138.92";"     2.1"
"071110 Nieuwe auto's";"2025 februari";"  138.82";"     2.0"
"071110 Nieuwe auto's";"2025 maart";"  138.87";"     2.1"
"071110 Nieuwe auto's";"2025 april";"  138.78";"     1.7"
"071110 Nieuwe auto's";"2025 mei";"  138.91";"     1.7"
"071110 Nieuwe auto's";"2025 juni";"  138.91";"     1.7"
"071110 Nieuwe auto's";"2025 juli";"  138.94";"     1.9"
"071110 Nieuwe auto's";"2025 augustus";"  138.72";"     1.6"
"071110 Nieuwe auto's";"2025 september";"  139.17";"     1.9"
"071110 Nieuwe auto's";"2025 oktober";"  139.25";"     1.7"
"071110 Nieuwe auto's";"2025 november";"  139.31";"     1.7"
"071110 Nieuwe auto's";"2025 december";"  139.25";"     1.6"
