Jaar_Maand,Product,Label_Naam,Beginstand,Jaarpremie_Beginstand,Eindstand,Jaarpremie_Eindstand,NewBusiness,Jaarpremie_NewBusiness,Royementen,Geroyeerde_Jaarpremie,Prolongaties,Jaarpremie_voor_Prolongatie,Jaarpremie_na_Prolongatie,Mutaties,Jaarpremie_voor_Mutatie,Jaarpremie_na_Mutatie,Gemiddelde_Jaarpremie_Beginstand,Gemiddelde_Jaarpremie_Eindstand,Jaarpremie_Prolongatie,Gemiddelde_Jaarpremie_voor_Prolongatie,Gemiddelde_Jaarpremie_na_Prolongatie
200712,Auto Particulier,BOVAG Polis,6292,2281244.30,6360,2297151.09,69,24211.62,0,0.00,359,129646.18,125873.94,63,25071.41,20737.82,362.562666,361.187278,-3772.24,361.131420,350.623788
200801,Auto Particulier,BOVAG Polis,6360,2297151.09,6462,2322653.42,101,37606.43,0,0.00,352,130216.73,125985.73,299,108318.08,100995.80,361.187278,359.432593,-4231.00,369.933892,357.914005
200802,Auto Particulier,BOVAG Polis,6462,2322653.42,6540,2342511.08,79,28458.67,0,0.00,293,107754.30,104754.02,215,73022.42,67694.95,359.432593,358.182122,-3000.28,367.762116,357.522252
200803,Auto Particulier,BOVAG Polis,6540,2342511.08,6631,2362089.39,95,31566.09,0,0.00,293,112776.45,110459.58,174,61878.68,54539.99,358.182122,356.219181,-2316.87,384.902559,376.995153
200804,Auto Particulier,BOVAG Polis,6631,2362089.39,6739,2385668.89,107,35390.77,0,0.00,349,129084.49,123821.90,176,65352.57,57915.02,356.219181,354.009332,-5262.59,369.869598,354.790544
200805,Auto Particulier,BOVAG Polis,6739,2385668.89,6811,2396708.60,70,22105.79,0,0.00,278,108617.06,102828.21,163,54244.63,48075.94,354.009332,351.887916,-5788.85,390.708848,369.885647
200806,Auto Particulier,BOVAG Polis,6811,2396708.60,6890,2408616.95,79,24647.99,0,0.00,274,99615.80,95262.30,140,50083.02,41099.62,351.887916,349.581560,-4353.50,363.561313,347.672627
200807,Auto Particulier,BOVAG Polis,6890,2408616.95,7008,2433810.88,121,39263.85,0,0.00,374,144815.06,137905.71,159,55494.25,49486.68,349.581560,347.290365,-6909.35,387.206042,368.731844
200808,Auto Particulier,BOVAG Polis,7008,2433810.88,7134,2458881.04,125,36952.90,0,0.00,381,138770.51,134419.71,118,41117.54,33178.44,347.290365,344.670737,-4350.80,364.227060,352.807637
200809,Auto Particulier,BOVAG Polis,7134,2458881.04,7251,2482506.20,120,35679.35,0,0.00,391,146039.18,140067.85,112,37140.08,31820.22,344.670737,342.367425,-5971.33,373.501739,358.229795
200810,Auto Particulier,BOVAG Polis,7251,2482506.20,7387,2512420.03,139,45509.27,0,0.00,514,184111.71,175182.15,163,49581.51,43902.88,342.367425,340.113717,-8929.56,358.193988,340.821303
200811,Auto Particulier,BOVAG Polis,7387,2512420.03,7469,2529904.17,82,25959.90,0,0.00,502,181837.27,177594.29,138,42715.51,38423.79,340.113717,338.720601,-4242.98,362.225637,353.773486
200812,Auto Particulier,BOVAG Polis,7469,2529904.17,7538,2539773.97,72,21273.00,0,0.00,422,148320.55,141448.77,63,19560.39,16395.65,338.720601,336.929420,-6871.78,351.470497,335.186658
200901,Auto Particulier,BOVAG Polis,7538,2539773.97,7700,2575870.19,162,49225.13,0,0.00,482,173360.85,167102.45,271,92271.89,84550.60,336.929420,334.528596,-6258.40,359.669813,346.685580
200902,Auto Particulier,BOVAG Polis,7700,2575870.19,7787,2597601.92,83,24416.64,0,0.00,369,133147.09,128223.46,223,69558.18,70330.27,334.528596,333.581856,-4923.63,360.832222,347.489051
200903,Auto Particulier,BOVAG Polis,7787,2597601.92,7867,2626357.65,77,25971.38,0,0.00,371,135216.02,136429.69,194,63201.66,62920.32,333.581856,333.844877,1213.67,364.463665,367.735013
200904,Auto Particulier,BOVAG Polis,7867,2626357.65,7957,2657386.24,88,30934.15,0,0.00,424,147393.89,150103.70,257,84412.67,81565.92,333.844877,333.968359,2709.81,347.627099,354.018160
200905,Auto Particulier,BOVAG Polis,7957,2657386.24,8003,2676256.03,46,15356.60,0,0.00,363,127532.33,129477.47,186,57398.72,59221.34,333.968359,334.406601,1945.14,351.328732,356.687245
200906,Auto Particulier,BOVAG Polis,8003,2676256.03,8039,2693996.52,37,11175.09,0,0.00,369,122858.68,125429.88,164,52323.54,56455.55,334.406601,335.115875,2571.20,332.950352,339.918373
200907,Auto Particulier,BOVAG Polis,8039,2693996.52,8076,2713165.34,38,12424.07,0,0.00,497,176065.87,180508.15,249,85198.80,87906.25,335.115875,335.954103,4442.28,354.257283,363.195472
200908,Auto Particulier,BOVAG Polis,8076,2713165.34,8119,2733622.77,43,12527.03,0,0.00,492,163596.10,171467.27,218,70394.87,70229.46,335.954103,336.694515,7871.17,332.512398,348.510711
200909,Auto Particulier,BOVAG Polis,8119,2733622.77,8150,2752284.62,28,10382.54,0,0.00,504,172428.89,178316.98,199,59807.32,61550.55,336.694515,337.703634,5888.09,342.120813,353.803531
